epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
12,1218.51,1.13039,1.51596,1.33335,0.77535,0.7548,0.80075,0.71278,0.63882,0.70675,1.21771,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,2189.34,1.1128,1.48653,1.32334,0.78613,0.76757,0.79898,0.711,0.551,0.67601,1.19384,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,2959.76,1.09319,1.45811,1.31135,0.79518,0.77203,0.81532,0.70323,0.63264,0.60097,1.21641,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,4263.78,1.07681,1.43563,1.3015,0.7932,0.78255,0.81624,0.72901,0.57123,0.62835,1.19727,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,7086.8,1.06436,1.41277,1.29364,0.79144,0.77764,0.81618,0.73456,0.52725,0.6411,1.18113,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,7909.42,1.04827,1.38507,1.28556,0.80577,0.78476,0.81575,0.73614,0.53345,0.6614,1.18553,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,8673.06,1.04208,1.36865,1.28365,0.82164,0.78564,0.82673,0.75474,0.49299,0.57574,1.16443,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,9409.98,1.03288,1.35834,1.27604,0.81134,0.78936,0.82422,0.75876,0.48858,0.59318,1.16177,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,10148.4,1.01964,1.33237,1.2689,0.79973,0.79488,0.82384,0.7538,0.47658,0.62148,1.16248,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,10894.9,1.01318,1.32348,1.26894,0.80474,0.79432,0.82607,0.75726,0.46957,0.57632,1.16261,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,11640.2,0.9986,1.29697,1.25702,0.81017,0.7757,0.82189,0.74513,0.506,0.59953,1.16585,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,12404.5,0.99423,1.28752,1.24995,0.81779,0.80118,0.8321,0.72637,0.56493,0.56005,1.17626,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,13131.9,0.99163,1.28545,1.25464,0.83059,0.79685,0.83164,0.76413,0.46876,0.53132,1.15206,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,13881.6,0.9843,1.27938,1.24381,0.82175,0.79694,0.83154,0.75951,0.47788,0.52841,1.15524,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,14627.3,0.97203,1.26287,1.24048,0.81952,0.80377,0.83636,0.76575,0.46685,0.50929,1.1476,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,15321.1,0.96116,1.24502,1.23317,0.82697,0.80155,0.83883,0.77407,0.45144,0.51246,1.14293,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,952.553,0.94068,1.21555,1.21976,0.81064,0.80034,0.83056,0.77005,0.43363,0.51957,1.13887,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,1629.02,0.94391,1.20967,1.22195,0.81857,0.79414,0.82608,0.76423,0.43882,0.51875,1.1421,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,2306.92,0.933,1.19617,1.21535,0.80263,0.80872,0.8274,0.76675,0.44127,0.51407,1.13973,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,2987.34,0.93239,1.18493,1.21526,0.8106,0.8125,0.83241,0.77207,0.45404,0.52078,1.13833,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
