epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1864.09,1.48914,5.06711,1.76779,0.26588,0.32457,0.24917,0.1158,0.97945,11.3602,0.97018,0.000665017,0.000665017,0.000665017
1,1328.45,1.48914,5.06711,1.76779,0.26588,0.32457,0.24917,0.1158,0.97945,11.3602,0.97018,0.000665017,0.000665017,0.000665017
1,641.263,1.48914,5.06711,1.76779,0.26588,0.32457,0.24917,0.1158,0.97945,11.3602,0.97018,0.000665017,0.000665017,0.000665017
2,2072.93,1.63296,3.57521,1.86693,0.1683,0.35519,0.14303,0.05354,1.02859,19.4707,1.09521,0.00130532,0.00130532,0.00130532
2,1536.32,1.63296,3.57521,1.86693,0.1683,0.35519,0.14303,0.05354,1.02859,19.4707,1.09521,0.00130532,0.00130532,0.00130532
2,851.564,1.63296,3.57521,1.86693,0.1683,0.35519,0.14303,0.05354,1.02859,19.4707,1.09521,0.00130532,0.00130532,0.00130532
3,2279.31,1.62105,3.06149,1.81871,0.13703,0.60656,0.1937,0.08365,1.01689,3.76278,0.95808,0.00191922,0.00191922,0.00191922
3,1740.72,1.62105,3.06149,1.81871,0.13703,0.60656,0.1937,0.08365,1.01689,3.76278,0.95808,0.00191922,0.00191922,0.00191922
3,1058.19,1.62105,3.06149,1.81871,0.13703,0.60656,0.1937,0.08365,1.01689,3.76278,0.95808,0.00191922,0.00191922,0.00191922
4,2483.65,1.61477,2.7364,1.84056,0.28112,0.37705,0.24712,0.12716,1.01068,1.87287,0.90213,0.0018812,0.0018812,0.0018812
4,1944.31,1.61477,2.7364,1.84056,0.28112,0.37705,0.24712,0.12716,1.01068,1.87287,0.90213,0.0018812,0.0018812,0.0018812
4,1261.42,1.61477,2.7364,1.84056,0.28112,0.37705,0.24712,0.12716,1.01068,1.87287,0.90213,0.0018812,0.0018812,0.0018812
5,2689.1,1.56111,2.61763,1.77747,0.2936,0.40164,0.24382,0.09509,1.06785,3.21161,1.0526,0.0018416,0.0018416,0.0018416
5,2149.69,1.56111,2.61763,1.77747,0.2936,0.40164,0.24382,0.09509,1.06785,3.21161,1.0526,0.0018416,0.0018416,0.0018416
5,1467.68,1.56111,2.61763,1.77747,0.2936,0.40164,0.24382,0.09509,1.06785,3.21161,1.0526,0.0018416,0.0018416,0.0018416
6,2893.93,1.48226,2.62318,1.70602,0.20282,0.42623,0.27437,0.145,0.82834,1.89434,0.86097,0.001802,0.001802,0.001802
6,1671.62,1.47658,2.64541,1.70095,0.22022,0.42077,0.28781,0.17643,0.78619,2.07675,0.79351,0.001802,0.001802,0.001802
6,2360.16,1.48226,2.62318,1.70602,0.20282,0.42623,0.27437,0.145,0.82834,1.89434,0.86097,0.001802,0.001802,0.001802
7,3100.97,1.44865,2.50343,1.69046,0.29745,0.37432,0.30819,0.16115,0.8712,4.31218,0.83268,0.0017624,0.0017624,0.0017624
7,1872.94,1.45033,2.48108,1.68768,0.2749,0.40437,0.26219,0.12988,0.88319,3.90692,0.87884,0.0017624,0.0017624,0.0017624
7,2563.82,1.44865,2.50343,1.69046,0.29745,0.37432,0.30819,0.16115,0.8712,4.31218,0.83268,0.0017624,0.0017624,0.0017624
8,3305.55,1.43596,2.52319,1.6758,0.38232,0.15574,0.20717,0.10041,0.85328,1.94863,0.81637,0.0017228,0.0017228,0.0017228
8,2076.47,1.39336,2.48449,1.63995,0.43883,0.5082,0.39716,0.23728,0.72214,1.60266,0.77662,0.0017228,0.0017228,0.0017228
8,2766.05,1.43596,2.52319,1.6758,0.38232,0.15574,0.20717,0.10041,0.85328,1.94863,0.81637,0.0017228,0.0017228,0.0017228
